
Rendering frame with player@['12.701395', '16.033665']
Rendering frame with player@['12.701395', '16.033665']
Rendering frame with player@['12.701395', '16.033665']
Rendering frame with player@['12.701395', '16.033665']
Rendering frame with player@['12.701395', '16.033665']
Rendering frame with player@['12.701395', '16.033665']
Rendering frame with player@['12.701395', '16.033665']
Rendering frame with player@['12.701395', '16.033665']
Rendering frame with player@['12.701395', '16.033665']
Rendering frame with player@['12.701395', '16.033665']
Rendering frame with player@['12.701395', '16.033665']
Rendering frame with player@['12.701395', '16.033665']
Rendering frame with player@['12.701395', '16.033665']
Rendering frame with player@['12.701395', '16.033665']
Rendering frame with player@['12.701395', '16.033665']
Rendering frame with player@['12.701395', '16.033665']
Rendering frame with player@['12.701395', '16.033665']
Rendering frame with player@['12.701395', '16.033665']
Rendering frame with player@['12.701395', '16.033665']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
Rendering frame with player@['12.857618', '16.431735']
